image_id,r,c,direction_id,direction_seed,gain,stability_score_if_available
cifar10_00000_cat,20,5,1,322,0.878571629524231,1.4254094362258911
cifar10_00000_cat,14,7,1,322,0.8051096200942993,0.4324052333831787
cifar10_00000_cat,9,0,1,322,0.839611291885376,1.3858757019042969
cifar10_00000_cat,24,6,1,322,0.45143452286720276,1.333817481994629
cifar10_00000_cat,31,15,1,322,0.9110375046730042,1.5946534872055054
cifar10_00000_cat,11,27,1,322,0.7681566476821899,1.291285753250122
cifar10_00000_cat,15,12,1,322,0.6706224083900452,0.5941110849380493
cifar10_00000_cat,15,21,1,322,0.954370379447937,1.50901198387146
cifar10_00000_cat,2,14,1,322,0.7071803212165833,0.40844833850860596
cifar10_00000_cat,29,23,1,322,0.802727222442627,1.2127755880355835
cifar10_00000_cat,11,28,1,322,0.8235689401626587,1.583575963973999
cifar10_00000_cat,29,11,1,322,0.8679442405700684,1.202043056488037
cifar10_00000_cat,17,7,1,322,0.7368227243423462,1.3654518127441406
cifar10_00000_cat,1,12,1,322,0.9119200706481934,0.8028956651687622
cifar10_00000_cat,22,30,1,322,0.8521266579627991,1.2109670639038086
cifar10_00000_cat,1,24,1,322,0.8525911569595337,0.7410048246383667
cifar10_00000_cat,14,22,1,322,0.8006894588470459,1.4356279373168945
cifar10_00000_cat,8,22,1,322,0.9177747964859009,1.3464510440826416
cifar10_00000_cat,29,29,1,322,0.8676460385322571,1.4483232498168945
cifar10_00000_cat,20,16,1,322,0.84507155418396,1.5409660339355469
cifar10_00000_cat,11,2,1,322,0.748676061630249,1.3511850833892822
cifar10_00000_cat,0,26,1,322,1.0162203311920166,0.7619963884353638
cifar10_00000_cat,27,19,1,322,0.7866013050079346,1.2318403720855713
cifar10_00000_cat,10,13,1,322,0.8985649347305298,1.276957631111145
cifar10_00000_cat,21,3,1,322,0.48530590534210205,1.3836894035339355
cifar10_00000_cat,0,7,1,322,0.9471220970153809,0.6729483604431152
cifar10_00000_cat,0,4,1,322,0.9828867316246033,0.5922243595123291
cifar10_00000_cat,18,8,1,322,0.776054322719574,1.1995368003845215
cifar10_00000_cat,15,25,1,322,0.8340457677841187,1.2423994541168213
cifar10_00000_cat,31,9,1,322,0.8610706329345703,1.5122644901275635
cifar10_00000_cat,3,26,1,322,0.7759442925453186,0.7708017826080322
cifar10_00000_cat,15,3,1,322,0.765807032585144,1.32677161693573
cifar10_00000_cat,21,23,1,322,0.686846137046814,0.7951284646987915
cifar10_00000_cat,24,15,1,322,0.8249256610870361,1.4849400520324707
cifar10_00000_cat,26,10,1,322,0.8716561794281006,1.550363302230835
cifar10_00000_cat,5,15,1,322,0.6709636449813843,0.9858753681182861
cifar10_00000_cat,11,8,1,322,0.6887676119804382,1.517732858657837
cifar10_00000_cat,8,19,1,322,0.8997732400894165,1.3423480987548828
cifar10_00000_cat,16,24,1,322,0.9082568287849426,0.9607001543045044
cifar10_00000_cat,3,23,1,322,0.7848578691482544,1.162840723991394
cifar10_00000_cat,28,7,1,322,0.6649723052978516,0.8853772282600403
cifar10_00000_cat,6,16,1,322,0.868389368057251,1.3532495498657227
cifar10_00000_cat,12,8,1,322,0.6756159663200378,0.772966742515564
cifar10_00000_cat,31,2,1,322,0.8199484944343567,1.5589780807495117
cifar10_00000_cat,21,14,1,322,0.9043904542922974,0.8896764516830444
cifar10_00000_cat,20,27,1,322,0.9820877313613892,0.7155416011810303
cifar10_00000_cat,10,17,1,322,0.750394880771637,1.4506198167800903
cifar10_00000_cat,12,2,1,322,0.7105804681777954,1.4713358879089355
cifar10_00000_cat,20,13,1,322,0.6254791617393494,0.9831012487411499
cifar10_00000_cat,11,29,1,322,0.9753958582878113,1.315058708190918
cifar10_00000_cat,24,30,1,322,0.7671220302581787,1.2711818218231201
cifar10_00000_cat,17,20,1,322,0.8450825214385986,1.231480598449707
cifar10_00000_cat,29,16,1,322,0.7829781770706177,1.4703645706176758
cifar10_00000_cat,26,27,1,322,0.8570129871368408,1.1092382669448853
cifar10_00000_cat,10,3,1,322,0.8755051493644714,1.232417345046997
cifar10_00000_cat,7,18,1,322,0.8331438302993774,1.197272539138794
cifar10_00000_cat,14,17,1,322,1.050730586051941,1.4764173030853271
cifar10_00000_cat,23,16,1,322,0.6038858294487,1.6053569316864014
cifar10_00000_cat,27,11,1,322,0.9801183342933655,1.415482759475708
cifar10_00000_cat,2,21,1,322,0.892599880695343,0.974623441696167
cifar10_00000_cat,6,23,1,322,0.6538345217704773,1.2902305126190186
cifar10_00000_cat,25,14,1,322,0.8718706369400024,1.1939254999160767
cifar10_00000_cat,30,18,1,322,0.5409412980079651,1.2195910215377808
cifar10_00000_cat,16,6,1,322,0.8601535558700562,1.6673955917358398
cifar10_00000_cat,2,10,1,322,0.885244607925415,0.8031333684921265
