epsilon,image_index,class_index,class_name,bit_accuracy,psnr,ssim,lpips
2.0,163,5,dog,100.0,36.60869864964558,0.9786468862137226,0.044241420924663544
2.0,164,5,dog,100.0,38.19312957983388,0.9762416176408747,0.02988135814666748
2.0,165,5,dog,90.0,40.02250377310044,0.9867277473347325,0.02427266165614128
2.0,166,5,dog,100.0,39.03098814196849,0.9868571820438644,0.02467118576169014
2.0,167,5,dog,100.0,36.10383038690819,0.9639268071708252,0.048336464911699295
2.0,168,5,dog,100.0,39.42023563620417,0.9851371028261862,0.041285738348960876
2.0,169,5,dog,100.0,38.1858077312796,0.9800795900203699,0.04632480442523956
2.0,170,5,dog,100.0,37.30470056246623,0.9836996901070405,0.03832212835550308
2.0,171,5,dog,95.0,40.72266864604585,0.9861991430086127,0.019954856485128403
2.0,172,5,dog,100.0,39.728715692650965,0.9817290890950457,0.01631627231836319
2.0,173,5,dog,100.0,34.8609059044509,0.9758482730745316,0.06729060411453247
2.0,174,5,dog,95.0,35.900790128815125,0.9802348786452534,0.045486681163311005
2.0,175,5,dog,95.0,39.62934662383557,0.9841157742441929,0.03207855299115181
2.0,176,5,dog,100.0,41.650632620823124,0.9875964532282101,0.03532741591334343
2.0,177,5,dog,95.0,38.86021013930603,0.9831242603619508,0.04846024885773659
2.0,178,5,dog,95.0,39.99603560285941,0.9843509999754637,0.03379783779382706
2.0,179,5,dog,90.0,38.52575213475077,0.9837495201454064,0.036961812525987625
2.0,180,6,frog,100.0,37.13677489217459,0.9756290852888937,0.05397329851984978
2.0,181,6,frog,100.0,38.131764306400164,0.9805994720893706,0.04122349992394447
2.0,182,6,frog,100.0,40.60452162123751,0.9847695246647508,0.028951961547136307
2.0,183,6,frog,100.0,37.8389798915296,0.9729364853225517,0.05755946785211563
2.0,184,6,frog,95.0,36.81060558143913,0.962807779326682,0.05183393508195877
2.0,185,6,frog,100.0,39.50004878190788,0.9802089616140212,0.04560112580657005
2.0,186,6,frog,100.0,38.34402393701132,0.9724523555445835,0.037091560661792755
2.0,187,6,frog,100.0,39.033820400631456,0.9829932489926859,0.05823991075158119
2.0,188,6,frog,95.0,40.626072222701524,0.9818561548702275,0.05583906173706055
2.0,189,6,frog,100.0,37.20173475737187,0.9823147559616895,0.029057228937745094
2.0,190,6,frog,100.0,39.912354590529105,0.9699012460818585,0.028235824778676033
2.0,191,6,frog,100.0,39.68236022552179,0.9836097294080899,0.0378761887550354
2.0,192,6,frog,95.0,40.89315887532564,0.9809501132991197,0.03144942596554756
2.0,193,6,frog,100.0,39.056530462144764,0.9777786066795714,0.049803540110588074
2.0,194,6,frog,100.0,35.68735929952258,0.9697228930427991,0.06261901557445526
2.0,195,6,frog,100.0,36.02547223688478,0.9688073642531568,0.05441606417298317
2.0,196,6,frog,100.0,37.311358879086946,0.9634609862069535,0.03477860614657402
2.0,197,6,frog,100.0,39.48984829320437,0.9796673508276549,0.0351974293589592
2.0,198,6,frog,100.0,36.62739391708049,0.9729283585761849,0.06718021631240845
2.0,199,6,frog,90.0,38.97066824670186,0.9813603604936109,0.06096656247973442
2.0,200,6,frog,100.0,37.907581588638045,0.9809776429322415,0.0773596242070198
